L1-icache-load-misses,branch-loads,dTLB-store-misses,L1-dcache-load-misses,bus-cycles,branch-instructions,LLC-load-misses,cpu-cycles,cache-references,dTLB-load-misses,L1-dcache-stores,branch-misses,LLC-stores,iTLB-load-misses,branch-load-misses,LLC-loads,L1-dcache-loads,cache-misses,LLC-store-misses,instructions
5024,3633245,0,759,35099426,3421301,1603,70172472,36757445,0,36763641,58727,7916,0,58618,7930,36763642,1923,1426,60694903
5018,3633108,993,759,35094511,3425020,301,70172554,36761181,987,36765050,57631,8616,974,58111,8627,36765051,882,291,60700253
4977,3633656,48,783,35093339,3425514,71,70174696,36706930,54,36764683,57326,7348,50,58046,7329,36764683,729,69,60617255
5014,3633438,7,787,35092662,3422865,369,70175836,36760125,7,36762579,57556,8625,5,57786,8589,36762579,742,367,60698840
5025,3634430,1,744,35092307,3428814,512,70209892,36761049,1,36761114,57946,8836,1,58685,8860,36761114,761,515,60705309
6955,3633234,0,1844,35093347,3425125,29,70172143,36757697,0,36710544,57960,7272,0,58000,7283,36710543,705,27,60695672
5725,3632745,0,1054,35092999,3422291,20,70172262,36745518,0,36765989,57988,7203,1,57808,7224,36765988,759,24,60678792
5001,3633065,0,819,35109765,3426050,20,70172805,36756890,0,36762655,58325,7237,0,58021,7243,36762656,920,18,60695437
4994,3631775,0,800,35093541,3423130,569,70171354,36757667,0,36764077,57439,10084,0,57944,10023,36764077,1255,572,60696143
4914,3632514,0,802,35093607,3425573,23,70171307,36759079,0,36763895,57730,7361,0,58045,7410,36763895,842,16,60695944
5023,3633099,51,724,35093200,3423497,20,70171072,36758135,51,36764132,57721,7285,49,57887,7279,36764132,909,22,60696095
5555,3633007,7,852,35093352,3422354,252,70171158,36759663,7,36768948,57375,10074,7,58259,10060,36768948,768,250,60696668
5075,3632954,0,777,35093958,3423714,25,70170645,36747991,0,36762490,58436,7535,0,57956,7517,36762490,1366,28,60681688
5300,3632967,0,1235,35094866,3424045,17,70171644,36759100,0,36756111,58417,7338,0,58121,7412,36756112,1122,15,60697504
5073,3633111,0,836,35094033,3423738,6,70173107,36727192,0,36763910,57480,7235,0,57670,7200,36763909,786,7,60653441
5017,3633897,0,799,35093222,3422526,172,70174627,36745771,0,36765236,57468,8097,0,57765,8103,36765236,714,170,60676723
5017,3633163,0,712,35093639,3422502,6,70172652,36759405,0,36764438,57428,7102,0,57775,7083,36764438,1296,6,60698061
6677,3632421,0,1368,35093588,3424213,4,70170747,36759941,0,36742057,57330,7117,1,57637,7129,36742057,871,4,60697370
11125,151578,73,2708,6775463,647170,3851,2620612,1003173,73,900504,18324,23039,54,8461,23022,900505,3332,3908,1752173
